nr, besteScore, aantalStanden,  tijd(s),    scores2
8,  1,          156.6,          0.041403,   1
9,  0.9,        91.2,           0.023929,   1
10, 1,          103.6,          0.02537,    1.1
11, 0.7,        215.2,          0.124366,   0.7
12, 1.8,        2216,           1.29115,    1.9
13, 1.6,        2059,           1.50342,    2.29
14, 1.8,        1652,           1.0219,     1.8
15, 1.9,        1438.7,         0.946275,   2.29
16, 3.3,        117856,         121.113,    3
17, 3.4,        132674,         211.003,    3.8
18, 3.3,        36285.2,        60.7216,    3.7
19, 3.8,        148189,         474.81,     4
20, 5.09,       5.48088e+06,    14418.3,    5.2
21, 4.9,        3.14643e+06,    8625.63,    5.3
22, 5.3,        1.47546e+06,    5420.37,    5.2
